"Symbol","Description","Universe"
"APYX","Apyx Medical Corp","Domestic"
"AQB","AquaBounty Technologies Inc","Domestic"
"AQFH","Aquesta Bank","Domestic"
"AQIS","Aquis Communications Group Inc","Domestic"
"AQMS","Aqua Metals Inc","Domestic"
"AQQSQ","American Spectrum Realty Inc","Domestic"
"AQSP","Acquired Sales Corp","Domestic"
"AQST","Aquestive Therapeutics Inc","Domestic"
"AQUA","Evoqua Water Technologies Corp","Domestic"
"AR","Antero Resources Corp","Domestic"
"ARA","American Renal Associates Holdings Inc","Domestic"
"ARAO","AuraSource Inc","Domestic"
"ARAV","Aravive Inc","Domestic"
"ARAY","Accuray Inc","Domestic"
"ARBI","Arbios Systems Inc","Domestic"
"ARBV","American Riviera Bank","Domestic"
"ARC","ARC Document Solutions Inc","Domestic"
"ARCB","ArcBest Corp","Domestic"
"ARCC","Ares Capital Corp","Domestic"
"ARCH","Arch Resources Inc","Domestic"
"ARCS","Arcis Resources Corp","Domestic"
"ARCT","Arcturus Therapeutics Holdings Inc","Domestic"
"ARCW","ARC Group Worldwide Inc","Domestic"
"ARD","Ardagh Group SA","Domestic"
"ARDMQ","Aradigm Corp","Domestic"
"ARDS","Aridis Pharmaceuticals Inc","Domestic"
"ARDWF","Captiva Verde Industries Ltd","Domestic"
"ARDX","Ardelyx Inc","Domestic"
"ARE","Alexandria Real Estate Equities Inc","Domestic"
"AREC","American Resources Corp","Domestic"
"ARES","Ares Management Corp","Domestic"
"ARET","Arete Industries Inc","Domestic"
"AREXQ","Approach Resources Inc","Domestic"
"ARGL","Argyle Security Inc","Domestic"
"ARGO","Argo Group International Holdings Ltd","Domestic"
"ARHH","Assure Holdings Corp","Domestic"
"ARHI","American Restaurant Holdings Inc","Domestic"
"ARHN","Archon Corp","Domestic"
"ARI","Apollo Commercial Real Estate Finance Inc","Domestic"
"ARINA","Arista Investors Corp","Domestic"
"ARKR","Ark Restaurants Corp","Domestic"
"ARL","American Realty Investors Inc","Domestic"
"ARLO","Arlo Technologies Inc","Domestic"
"ARLP","Alliance Resource Partners LP","Domestic"
"ARMK","Aramark","Domestic"
"ARMP","Armata Pharmaceuticals Inc","Domestic"
"ARNA","Arena Pharmaceuticals Inc","Domestic"
"ARNGF","Argonaut Gold Inc","Domestic"
"ARNI","Arno Therapeutics Inc","Domestic"
"AROC","Archrock Inc","Domestic"
"AROW","Arrow Financial Corp","Domestic"
"ARPO","Aerpio Pharmaceuticals Inc","Domestic"
"ARQT","Arcutis Biotherapeutics Inc","Domestic"
"ARR","ARMOUR Residential REIT Inc","Domestic"
"ARRT","Artisan Consumer Goods Inc","Domestic"
"ARSC","Bitcoin Crypto Currency Exchange Corp","Domestic"
"ARTD","Peer Media Technologies Inc","Domestic"
"ARTH","Arch Therapeutics Inc","Domestic"
"ARTL","Artelo Biosciences Inc","Domestic"
"ARTNA","Artesian Resources Corp","Domestic"
"ARTNB","Artesian Resources Corp","Domestic"
"ARTW","Art's Way Manufacturing Co Inc","Domestic"
"ARVN","Arvinas Inc","Domestic"
"ARW","Arrow Electronics Inc","Domestic"
"ARWD","Arrow Resources Development Inc","Domestic"
"ARWR","Arrowhead Pharmaceuticals Inc","Domestic"
"ARYC","Arrayit Corp","Domestic"
"ARYX","ARYx Therapeutics Inc","Domestic"
"ASA","ASA Gold and Precious Metals Limited","Domestic"
"ASB","Associated Banc-Corp","Domestic"
"ASB/PRC","Associated Banc-Corp","Domestic"
"ASC","Ardmore Shipping Corp","Domestic"
"ASCBQ","Ascendia Brands Inc","Domestic"
"ASCC","Dynamic Brands Inc","Domestic"
"ASDN","Astro Aerospace Ltd","Domestic"
"ASFI","Asta Funding Inc","Domestic"
"ASGN","ASGN Inc","Domestic"
"ASH","Ashland Global Holdings Inc.","Domestic"
"ASIX","AdvanSix Inc","Domestic"
"ASMB","Assembly Biosciences Inc","Domestic"
"ASNA","Ascena Retail Group Inc","Domestic"
"ASNB","Ekimas Corp","Domestic"
"ASPN","Aspen Aerogels Inc","Domestic"
"ASPR","Adsouth Partners Inc","Domestic"
"ASPS","Altisource Portfolio Solutions SA","Domestic"
"ASPT","Aladdin Separation Technologies Inc","Domestic"
"ASPU","Aspen Group Inc","Domestic"
"ASPW","Arista Power Inc","Domestic"
"ASPZ","Asia Properties Inc","Domestic"
"ASRT","Assertio Therapeutics Inc","Domestic"
"ASRV","Ameriserv Financial Inc","Domestic"
"ASTC","Astrotech Corp","Domestic"
"ASTE","Astec Industries Inc","Domestic"
"ASTI","Ascent Solar Technologies Inc","Domestic"
"ASTO","Astro Communications Inc","Domestic"
"ASUR","Asure Software Inc","Domestic"
"ASYS","Amtech Systems Inc","Domestic"
"ASZP","JV Group Inc","Domestic"
"AT","Atlantic Power Corp","Domestic"
"ATAR","Monstero Holdings Corp","Domestic"
"ATAX","America First Multifamily Investors LP","Domestic"
"ATCD","Altair Corp","Domestic"
"ATCN","Atec Inc","Domestic"
"ATCV","ATC Venture Group Inc","Domestic"
"ATDS","Data443 Risk Mitigation Inc","Domestic"
"ATEC","Alphatec Holdings Inc","Domestic"
"ATEN","A10 Networks Inc","Domestic"
"ATEX","Anterix Inc","Domestic"
"ATGE","Adtalem Global Education Inc","Domestic"
"ATGN","Altigen Communications Inc","Domestic"
"ATH","Athene Holding Ltd","Domestic"
"ATHI","American Transportation Holdings Inc","Domestic"
"ATHX","Athersys Inc","Domestic"
"ATI","Allegheny Technologies Inc","Domestic"
"ATIW","ATI Networks Inc","Domestic"
"ATKR","Atkore International Group Inc","Domestic"
"ATLC","Atlanticus Holdings Corp","Domestic"
"ATLO","Ames National Corp","Domestic"
"ATLS","Atlas Energy Group LLC","Domestic"
"ATMO","Americatowne Holdings Inc","Domestic"
"ATMS","Artemis Therapeutics Inc","Domestic"
"ATNI","ATN International Inc","Domestic"
"ATNM","Actinium Pharmaceuticals Inc","Domestic"
"ATNP","Atlantis Technology Group","Domestic"
"ATNX","Athenex Inc","Domestic"
"ATO","Atmos Energy Corp","Domestic"
"ATOM","Atomera Inc","Domestic"
